date,price
31/07/2017,7768.842
1/08/2017,7850.1889
2/08/2017,7728.2581
3/08/2017,7950.6822
4/08/2017,8046.9495
5/08/2017,9031.6812
6/08/2017,9028.205
7/08/2017,9400.2097
8/08/2017,9823.9134
9/08/2017,9675.1191
10/08/2017,9724.7757
11/08/2017,10143.8347
12/08/2017,10506.9747
13/08/2017,10730.4198
14/08/2017,10996.6931
15/08/2017,10841.2568
16/08/2017,11178.884
17/08/2017,11461.1021
18/08/2017,10825.7652
19/08/2017,10908.499
20/08/2017,10786.3167
21/08/2017,11044.5781
22/08/2017,11245.4852
23/08/2017,11462.2263
24/08/2017,11564.3737
25/08/2017,11725.9163
26/08/2017,11694.49
27/08/2017,11794.9612
28/08/2017,12058.48
29/08/2017,12495.4118
30/08/2017,12967.5833
31/08/2017,13429.8744
1/09/2017,13808.6447
2/09/2017,12697.9258
3/09/2017,12906.7659
4/09/2017,11664.5777
5/09/2017,12168.5094
6/09/2017,12676.0167
