DATE,DTB4WK
9/01/2017,0.49
10/01/2017,0.5
11/01/2017,0.5
12/01/2017,0.51
13/01/2017,0.51
16/01/2017,.
17/01/2017,0.51
18/01/2017,0.47
19/01/2017,0.46
20/01/2017,0.45
23/01/2017,0.45
24/01/2017,0.49
25/01/2017,0.47
26/01/2017,0.48
27/01/2017,0.48
30/01/2017,0.48
31/01/2017,0.49
1/02/2017,0.49
2/02/2017,0.49
3/02/2017,0.48
6/02/2017,0.47
7/02/2017,0.5
8/02/2017,0.51
9/02/2017,0.5
10/02/2017,0.5
13/02/2017,0.49
14/02/2017,0.5
15/02/2017,0.52
16/02/2017,0.5
17/02/2017,0.49
20/02/2017,.
21/02/2017,0.48
22/02/2017,0.46
23/02/2017,0.38
24/02/2017,0.39
27/02/2017,0.43
28/02/2017,0.39
1/03/2017,0.45
2/03/2017,0.5
3/03/2017,0.54
6/03/2017,0.53
7/03/2017,0.54
8/03/2017,0.52
9/03/2017,0.48
10/03/2017,0.58
13/03/2017,0.67
14/03/2017,0.76
15/03/2017,0.7
16/03/2017,0.67
17/03/2017,0.7
20/03/2017,0.68
21/03/2017,0.75
22/03/2017,0.73
23/03/2017,0.72
24/03/2017,0.72
27/03/2017,0.72
28/03/2017,0.74
29/03/2017,0.75
30/03/2017,0.74
31/03/2017,0.73
3/04/2017,0.71
4/04/2017,0.76
5/04/2017,0.76
6/04/2017,0.77
7/04/2017,0.76
10/04/2017,0.76
11/04/2017,0.73
12/04/2017,0.76
13/04/2017,0.75
14/04/2017,.
17/04/2017,0.74
18/04/2017,0.75
19/04/2017,0.74
20/04/2017,0.72
21/04/2017,0.71
24/04/2017,0.72
25/04/2017,0.72
26/04/2017,0.73
27/04/2017,0.69
28/04/2017,0.66
1/05/2017,0.64
2/05/2017,0.71
3/05/2017,0.72
4/05/2017,0.69
5/05/2017,0.68
8/05/2017,0.69
9/05/2017,0.73
10/05/2017,0.69
11/05/2017,0.66
12/05/2017,0.66
15/05/2017,0.69
16/05/2017,0.71
17/05/2017,0.7
18/05/2017,0.71
19/05/2017,0.68
22/05/2017,0.66
23/05/2017,0.75
24/05/2017,0.74
25/05/2017,0.7
26/05/2017,0.72
29/05/2017,.
30/05/2017,0.76
31/05/2017,0.85
1/06/2017,0.8
2/06/2017,0.8
5/06/2017,0.8
6/06/2017,0.82
7/06/2017,0.82
8/06/2017,0.78
9/06/2017,0.78
12/06/2017,0.79
13/06/2017,0.88
14/06/2017,0.89
15/06/2017,0.84
16/06/2017,0.83
19/06/2017,0.82
20/06/2017,0.87
21/06/2017,0.84
22/06/2017,0.78
23/06/2017,0.74
26/06/2017,0.77
27/06/2017,0.88
28/06/2017,0.87
29/06/2017,0.86
30/06/2017,0.82
3/07/2017,0.95
4/07/2017,.
5/07/2017,0.95
6/07/2017,0.93
7/07/2017,0.92
10/07/2017,0.92
11/07/2017,0.95
12/07/2017,0.92
13/07/2017,0.93
14/07/2017,0.91
17/07/2017,0.92
18/07/2017,0.93
19/07/2017,0.97
20/07/2017,0.97
21/07/2017,0.97
24/07/2017,0.96
25/07/2017,0.94
26/07/2017,1
27/07/2017,0.99
28/07/2017,0.98
31/07/2017,0.98
1/08/2017,0.98
2/08/2017,1
3/08/2017,0.98
4/08/2017,0.98
7/08/2017,0.97
8/08/2017,0.98
9/08/2017,0.99
10/08/2017,1
11/08/2017,0.98
14/08/2017,0.93
15/08/2017,0.96
16/08/2017,0.95
17/08/2017,0.94
18/08/2017,0.95
21/08/2017,0.93
22/08/2017,0.92
23/08/2017,0.97
24/08/2017,0.97
25/08/2017,0.97
28/08/2017,0.98
29/08/2017,0.95
30/08/2017,0.94
31/08/2017,0.93
1/09/2017,0.94
4/09/2017,.
5/09/2017,1.28
6/09/2017,1.02
7/09/2017,0.96
8/09/2017,0.94
11/09/2017,0.95
12/09/2017,0.98
13/09/2017,0.98
14/09/2017,0.97
